
Training model: Baseline
  Learning rate: 0.001
Epoch 1/20 | Train Acc: 44.31% | Test Acc: 50.35%
Epoch 2/20 | Train Acc: 53.98% | Test Acc: 57.99%
Epoch 3/20 | Train Acc: 60.87% | Test Acc: 59.72%
Epoch 4/20 | Train Acc: 66.26% | Test Acc: 62.38%
Epoch 5/20 | Train Acc: 71.76% | Test Acc: 63.89%
Epoch 6/20 | Train Acc: 75.09% | Test Acc: 58.80%
Epoch 7/20 | Train Acc: 81.15% | Test Acc: 61.92%
Epoch 8/20 | Train Acc: 87.05% | Test Acc: 59.72%
Epoch 9/20 | Train Acc: 91.20% | Test Acc: 60.42%
Epoch 10/20 | Train Acc: 94.12% | Test Acc: 62.62%
Epoch 11/20 | Train Acc: 96.58% | Test Acc: 62.38%
Epoch 12/20 | Train Acc: 97.02% | Test Acc: 62.27%
Epoch 13/20 | Train Acc: 97.28% | Test Acc: 60.53%
Epoch 14/20 | Train Acc: 98.93% | Test Acc: 60.76%
Epoch 15/20 | Train Acc: 99.33% | Test Acc: 61.69%
Epoch 16/20 | Train Acc: 99.48% | Test Acc: 61.11%
Epoch 17/20 | Train Acc: 98.90% | Test Acc: 61.69%
Epoch 18/20 | Train Acc: 99.51% | Test Acc: 61.46%
Epoch 19/20 | Train Acc: 99.74% | Test Acc: 60.53%
Epoch 20/20 | Train Acc: 99.65% | Test Acc: 58.33%
  Learning rate: 0.0001
Epoch 1/20 | Train Acc: 35.79% | Test Acc: 44.68%
Epoch 2/20 | Train Acc: 45.96% | Test Acc: 46.18%
Epoch 3/20 | Train Acc: 52.07% | Test Acc: 53.82%
Epoch 4/20 | Train Acc: 56.82% | Test Acc: 57.87%
Epoch 5/20 | Train Acc: 59.02% | Test Acc: 55.79%
Epoch 6/20 | Train Acc: 61.40% | Test Acc: 56.25%
Epoch 7/20 | Train Acc: 62.03% | Test Acc: 56.25%
Epoch 8/20 | Train Acc: 64.18% | Test Acc: 56.60%
Epoch 9/20 | Train Acc: 65.31% | Test Acc: 58.33%
Epoch 10/20 | Train Acc: 66.96% | Test Acc: 59.03%
Epoch 11/20 | Train Acc: 69.19% | Test Acc: 59.14%
Epoch 12/20 | Train Acc: 70.11% | Test Acc: 60.07%
Epoch 13/20 | Train Acc: 71.33% | Test Acc: 60.42%
Epoch 14/20 | Train Acc: 72.49% | Test Acc: 61.23%
Epoch 15/20 | Train Acc: 73.99% | Test Acc: 59.84%
Epoch 16/20 | Train Acc: 75.53% | Test Acc: 60.76%
Epoch 17/20 | Train Acc: 77.15% | Test Acc: 62.15%
Epoch 18/20 | Train Acc: 77.64% | Test Acc: 59.84%
Epoch 19/20 | Train Acc: 80.22% | Test Acc: 61.11%
Epoch 20/20 | Train Acc: 79.70% | Test Acc: 62.38%
  Learning rate: 1e-05
Epoch 1/20 | Train Acc: 18.53% | Test Acc: 21.30%
Epoch 2/20 | Train Acc: 27.25% | Test Acc: 30.67%
Epoch 3/20 | Train Acc: 33.65% | Test Acc: 33.33%
Epoch 4/20 | Train Acc: 38.43% | Test Acc: 38.77%
Epoch 5/20 | Train Acc: 41.50% | Test Acc: 40.74%
Epoch 6/20 | Train Acc: 44.40% | Test Acc: 44.33%
Epoch 7/20 | Train Acc: 45.82% | Test Acc: 44.79%
Epoch 8/20 | Train Acc: 46.13% | Test Acc: 44.91%
Epoch 9/20 | Train Acc: 46.89% | Test Acc: 46.30%
Epoch 10/20 | Train Acc: 48.16% | Test Acc: 46.30%
Epoch 11/20 | Train Acc: 48.74% | Test Acc: 48.26%
Epoch 12/20 | Train Acc: 49.44% | Test Acc: 48.15%
Epoch 13/20 | Train Acc: 50.10% | Test Acc: 48.84%
Epoch 14/20 | Train Acc: 51.00% | Test Acc: 48.96%
Epoch 15/20 | Train Acc: 52.13% | Test Acc: 48.96%
Epoch 16/20 | Train Acc: 52.27% | Test Acc: 49.88%
Epoch 17/20 | Train Acc: 52.79% | Test Acc: 50.00%
Epoch 18/20 | Train Acc: 53.11% | Test Acc: 50.00%
Epoch 19/20 | Train Acc: 53.49% | Test Acc: 50.35%
Epoch 20/20 | Train Acc: 53.75% | Test Acc: 50.58%
Finished training Baseline in 1478 seconds

Training model: Deep_baseline_V3
  Learning rate: 0.001
Epoch 1/20 | Train Acc: 50.01% | Test Acc: 58.10%
Epoch 2/20 | Train Acc: 60.03% | Test Acc: 59.38%
Epoch 3/20 | Train Acc: 63.05% | Test Acc: 59.72%
Epoch 4/20 | Train Acc: 65.04% | Test Acc: 58.80%
Epoch 5/20 | Train Acc: 66.43% | Test Acc: 68.17%
Epoch 6/20 | Train Acc: 68.38% | Test Acc: 67.01%
Epoch 7/20 | Train Acc: 69.68% | Test Acc: 64.12%
Epoch 8/20 | Train Acc: 70.75% | Test Acc: 70.02%
Epoch 9/20 | Train Acc: 71.13% | Test Acc: 68.98%
Epoch 10/20 | Train Acc: 71.73% | Test Acc: 72.11%
Epoch 11/20 | Train Acc: 72.60% | Test Acc: 70.72%
Epoch 12/20 | Train Acc: 75.12% | Test Acc: 73.38%
Epoch 13/20 | Train Acc: 74.37% | Test Acc: 71.99%
Epoch 14/20 | Train Acc: 75.70% | Test Acc: 75.00%
Epoch 15/20 | Train Acc: 74.72% | Test Acc: 72.45%
Epoch 16/20 | Train Acc: 78.60% | Test Acc: 72.92%
Epoch 17/20 | Train Acc: 76.69% | Test Acc: 73.26%
Epoch 18/20 | Train Acc: 79.24% | Test Acc: 72.22%
Epoch 19/20 | Train Acc: 78.89% | Test Acc: 75.12%
Epoch 20/20 | Train Acc: 79.12% | Test Acc: 78.82%
  Learning rate: 0.0001
Epoch 1/20 | Train Acc: 48.80% | Test Acc: 36.11%
Epoch 2/20 | Train Acc: 56.94% | Test Acc: 34.14%
Epoch 3/20 | Train Acc: 61.02% | Test Acc: 35.53%
Epoch 4/20 | Train Acc: 64.58% | Test Acc: 32.99%
Epoch 5/20 | Train Acc: 66.41% | Test Acc: 35.53%
Epoch 6/20 | Train Acc: 69.01% | Test Acc: 34.95%
Epoch 7/20 | Train Acc: 69.39% | Test Acc: 38.31%
Epoch 8/20 | Train Acc: 70.89% | Test Acc: 44.56%
Epoch 9/20 | Train Acc: 71.56% | Test Acc: 39.00%
Epoch 10/20 | Train Acc: 72.11% | Test Acc: 50.00%
Epoch 11/20 | Train Acc: 73.41% | Test Acc: 41.55%
Epoch 12/20 | Train Acc: 73.70% | Test Acc: 44.91%
Epoch 13/20 | Train Acc: 74.49% | Test Acc: 49.42%
Epoch 14/20 | Train Acc: 74.78% | Test Acc: 57.06%
Epoch 15/20 | Train Acc: 75.18% | Test Acc: 52.89%
Epoch 16/20 | Train Acc: 77.38% | Test Acc: 58.56%
Epoch 17/20 | Train Acc: 76.46% | Test Acc: 52.78%
Epoch 18/20 | Train Acc: 77.32% | Test Acc: 59.95%
Epoch 19/20 | Train Acc: 76.54% | Test Acc: 64.58%
Epoch 20/20 | Train Acc: 77.70% | Test Acc: 55.44%
  Learning rate: 1e-05
Epoch 1/20 | Train Acc: 40.95% | Test Acc: 30.21%
